season,episode,mean_sent,show_number
S01,E01,0.15,1
S01,E02,-0.07,2
S01,E03,-0.02,3
S01,E04,0.12,4
S02,E01,0.02,5
S02,E02,0.06,6
S02,E03,-0.04,7
S02,E04,-0.01,8
S02,E05,0.1,9
S02,E06,0.04,10
S02,E07,0.28,11
S02,E08,0.13,12
S02,E09,0.25,13
S02,E10,-0,14
S02,E11,0.17,15
S02,E12,-0.01,16
S03,E01,0.21,17
S03,E02,0.11,18
S03,E03,0.23,19
S03,E04,-0.11,20
S03,E05,0,21
S03,E06,-0.09,22
S03,E07,0.17,23
S03,E08,0.13,24
S03,E09,0.2,25
S03,E10,0.05,26
S03,E11,0,27
S03,E12,0.19,28
S03,E13,0,29
S03,E14,-0.03,30
S03,E15,-0.05,31
S03,E16,0.18,32
S03,E17,0.09,33
S03,E18,0.18,34
S03,E19,0.01,35
S03,E20,0.06,36
S03,E21,-0.05,37
S03,E22,-0.1,38
S03,E23,-0.05,39
S04,E01,-0.07,40
S04,E02,0.1,41
S04,E03,0.24,42
S04,E04,0.18,43
S04,E05,0.08,44
S04,E06,0.33,45
S04,E07,0.1,46
S04,E08,0.14,47
S04,E09,0.34,48
S04,E10,0.26,49
S04,E11,0.32,50
S04,E12,0.05,51
S04,E13,0.29,52
S04,E14,0.08,53
S04,E15,0.13,54
S04,E16,0.15,55
S04,E17,0,56
S04,E18,0.01,57
S04,E19,-0.02,58
S04,E20,0.13,59
S04,E21,-0.1,60
S04,E22,0.35,61
S04,E23,0.11,62
S04,E24,0.03,63
S05,E01,0.26,64
S05,E02,0.04,65
S05,E03,0.03,66
S05,E04,0.16,67
S05,E05,-0.22,68
S05,E06,0.25,69
S05,E07,0.17,70
S05,E08,0.2,71
S05,E09,0.3,72
S05,E10,0.15,73
S05,E11,0.23,74
S05,E12,0.07,75
S05,E13,0.03,76
S05,E14,0.24,77
S05,E15,-0.02,78
S05,E16,0.28,79
S05,E17,0.18,80
S05,E18,0.23,81
S05,E20,0.3,82
S05,E21,0.35,83
S05,E22,0.27,84
S06,E01,0.09,85
S06,E02,0.04,86
S06,E03,0.33,87
S06,E04,0.07,88
S06,E05,0.44,89
S06,E06,0.03,90
S06,E07,0.29,91
S06,E08,0.07,92
S06,E09,0.34,93
S06,E10,0.05,94
S06,E11,0.17,95
S06,E12,0.17,96
S06,E13,-0.03,97
S06,E16,0.15,98
S06,E17,0.26,99
S06,E18,0.09,100
S06,E19,0.26,101
S06,E20,0.08,102
S06,E21,0.25,103
S06,E22,0.2,104
S06,E23,0.08,105
S06,E24,0.09,106
S07,E01,0.2,107
S07,E02,0.18,108
S07,E03,0.12,109
S07,E04,0.23,110
S07,E05,0.01,111
S07,E06,0.39,112
S07,E07,0.04,113
S07,E08,0.04,114
S07,E09,0.1,115
S07,E10,-0.05,116
S07,E11,-0.02,117
S07,E12,0.04,118
S07,E13,0.16,119
S07,E14,0.38,120
S07,E15,0.16,121
S07,E16,0.07,122
S07,E17,0.07,123
S07,E18,0.16,124
S07,E19,0.13,125
S07,E20,0.23,126
S07,E21,0.1,127
S07,E22,0.07,128
S07,E23,0.13,129
S07,E24,0.06,130
S08,E01,0.02,131
S08,E02,0.16,132
S08,E03,-0.05,133
S08,E04,-0.09,134
S08,E05,0.16,135
S08,E06,0.28,136
S08,E07,0.19,137
S08,E08,0.05,138
S08,E09,0.37,139
S08,E10,0.04,140
S08,E11,0,141
S08,E12,0.25,142
S08,E13,-0.06,143
S08,E14,0.05,144
S08,E15,0.06,145
S08,E16,-0.02,146
S08,E17,0.04,147
S08,E18,0.02,148
S08,E19,0.07,149
S08,E20,0.03,150
S08,E21,0.18,151
S08,E22,0.15,152
S09,E01,0.09,153
S09,E02,0.11,154
S09,E03,0.3,155
S09,E04,0.27,156
S09,E05,0.18,157
S09,E06,0.15,158
S09,E07,0.04,159
S09,E08,0.05,160
S09,E09,0.05,161
S09,E10,0.16,162
S09,E11,0.03,163
S09,E12,0.41,164
S09,E13,-0.04,165
S09,E14,-0.04,166
S09,E15,0.2,167
S09,E16,-0.09,168
S09,E17,-0.09,169
S09,E18,0.17,170
S09,E19,0.25,171
S09,E20,-0.05,172
S09,E23,-0.01,173
