seid,mean_sent
S01E01,0.3
S01E02,0.14
S01E03,0.03
S01E04,0.37
S02E01,0.17
S02E02,-0.25
S02E03,-0.14
S02E04,0.19
S02E05,-0.06
S02E06,0.28
S02E07,0.58
S02E08,-0.14
S02E09,0.6
S02E10,-0.29
S02E11,-0.04
S02E12,-0.44
S03E01,0.21
S03E02,0.18
S03E03,0.68
S03E04,0.12
S03E05,-0.01
S03E06,-0.38
S03E07,0.7
S03E08,0.45
S03E09,0.8
S03E10,0.2
S03E11,0.33
S03E12,-0.09
S03E13,0.11
S03E14,0.4
S03E15,0.36
S03E16,0.81
S03E17,0.49
S03E18,1.01
S03E19,0.15
S03E20,0.31
S03E21,0.73
S03E22,0.44
S03E23,-0.24
S04E01,0.72
S04E02,0.22
S04E03,0.81
S04E04,0.58
S04E05,0.64
S04E06,0.63
S04E07,0.71
S04E08,0.09
S04E09,-0.03
S04E10,0.16
S04E11,0.82
S04E12,0.44
S04E13,0.66
S04E14,0.31
S04E15,1.27
S04E16,0.82
S04E17,0.23
S04E18,0.58
S04E19,0
S04E20,0.67
S04E21,0.89
S04E22,0.75
S04E23,0.19
S04E24,0.45
S05E01,0
S05E02,0.54
S05E03,0.01
S05E04,0.72
S05E05,-0.05
S05E06,0.62
S05E07,0.72
S05E08,0.64
S05E09,0.67
S05E10,0.55
S05E11,0.55
S05E12,0.25
S05E13,0.32
S05E14,0.94
S05E15,-0.21
S05E16,0.48
S05E17,0.56
S05E18,0.82
S05E20,0.77
S05E21,0.97
S05E22,0.37
S06E01,-0.12
S06E02,0.46
S06E03,0.43
S06E04,0.09
S06E05,0.91
S06E06,0.51
S06E07,0.65
S06E08,-0.01
S06E09,0.72
S06E10,0.57
S06E11,0.57
S06E12,1.08
S06E13,0.22
S06E16,0.48
S06E17,0.56
S06E18,0.39
S06E19,0.72
S06E20,0.32
S06E21,0.61
S06E22,1
S06E23,0.32
S06E24,0.34
S07E01,0.56
S07E02,0.4
S07E03,0.4
S07E04,0.61
S07E05,-0.29
S07E06,0.72
S07E07,0.3
S07E08,0.09
S07E09,0.14
S07E10,0.27
S07E11,0.53
S07E12,0.47
S07E13,0.34
S07E14,0.94
S07E15,0.49
S07E16,0.29
S07E17,0.32
S07E18,0.62
S07E19,0.47
S07E20,-0.02
S07E21,0.22
S07E22,0.11
S07E23,0.15
S07E24,0.2
S08E01,0.03
S08E02,0.39
S08E03,0.24
S08E04,-0.33
S08E05,0.48
S08E06,-0.13
S08E07,0.74
S08E08,0.09
S08E09,0.64
S08E10,-0.2
S08E11,0.51
S08E12,0.37
S08E13,-0.05
S08E14,0.23
S08E15,0.36
S08E16,0.46
S08E17,-0.34
S08E18,0.26
S08E19,0.52
S08E20,0.12
S08E21,0.47
S08E22,0.45
S09E01,0.32
S09E02,0.29
S09E03,0.74
S09E04,0.45
S09E05,0.23
S09E06,0.71
S09E07,-0.04
S09E08,0.19
S09E09,0.27
S09E10,0.33
S09E11,-0.22
S09E12,0.87
S09E13,0.82
S09E14,-0.01
S09E15,0.53
S09E16,-0.14
S09E17,-0.65
S09E18,0.49
S09E19,0
S09E20,-0.24
S09E23,0.19
