word1,word2,n
coffee,shop,84
jerry's,apartment,83
thousand,dollars,51
uncle,leo,51
alright,alright,48
coffee,table,44
hundred,dollars,44
ten,minutes,38
im,gonna,33
yada,yada,30
jean,paul,29
phone,rings,29
bubble,boy,28
tv,guide,28
nice,meeting,27
bye,bye,25
jon,voight,25
serenity,now,25
sue,ellen,25
lloyd,braun,24
saturday,night,24
twenty,minutes,24
chinese,food,23
fifty,dollars,23
gonna,call,23
marisa,tomei,23
gonna,happen,21
health,club,21
god,bless,20
phone,call,20
toilet,paper,20
bye,hangs,19
candy,bar,19
drop,dead,19
tomorrow,night,19
air,conditioner,18
dry,cleaning,18
super,bowl,18
tim,whatley,18
ice,cream,17
parking,lot,17
play,now,17
tape,recorder,17
ted,danson,17
gotta,run,16
joe,mayo,16
miss,benes,16
night,club,16
now,listen,16
puffy,shirt,16
table,book,16
ya,doin,16
hot,dog,15
joe,dimaggio,15
keith,hernandez,15
mm,hmm,15
nice,guy,15
soup,nazi,15
claps,hands,14
dont,care,14
dont,understand,14
fifteen,minutes,14
fine,fine,14
friday,night,14
funny,guy,14
heart,attack,14
prognosis,negative,14
security,guard,14
ya,ya,14
clears,throat,13
coffee,tables,13
gonna,pay,13
half,hour,13
hot,tub,13
label,maker,13
post,office,13
shake,hands,13
snaps,fingers,13
art,vandelay,12
bum,bum,12
death,blow,12
dry,cleaner,12
gonna,wear,12
raquel,welch,12
rochelle,rochelle,12
south,america,12
vandelay,industries,12
whoa,whoa,12
50,bucks,11
aids,walk,11
alright,listen,11
del,boca,11
fifty,bucks,11
iq,test,11
minutes,ago,11
minutes,earlier,11
months,ago,11
peanut,butter,11
red,dot,11
speed,dial,11
ten,thousand,11
van,buren,11
woody,woodpecker,11
alright,fine,10
alright,now,10
atlantic,city,10
birthday,card,10
boca,vista,10
buh,bye,10
car,accident,10
chinese,restaurant,10
christmas,card,10
donna,chang,10
georgie,boy,10
gonna,eat,10
gonna,talk,10
ill,call,10
jerrys,apartment,10
marble,rye,10
merry,christmas,10
miss,america,10
murphy,brown,10
schindler's,list,10
sob,sob,10
speak,english,10
told,ya,10
wanna,hear,10
yo,yo,10
york,yankees,10
apartment,building,9
bad,news,9
bette,midler,9
calvin,klein,9
friars,club,9
gonna,buy,9
gonna,change,9
gotta,call,9
gotta,talk,9
hee,hee,9
holy,cow,9
hot,water,9
job,interview,9
koko,koko,9
madison,square,9
marine,biologist,9
medicine,cabinet,9
mister,costanza,9
newman's,ear,9
now,now,9
nyc,street,9
pasta,primavera,9
paul,o'neill,9
running,outta,9
spare,keys,9
square,garden,9
ten,dollars,9
thirty,minutes,9
wanna,talk,9
watching,tv,9
alarm,clock,8
answering,machine,8
apple,pie,8
bathing,suit,8
beep,fuck,8
bennet,robbins,8
buffer,zone,8
buren,boys,8
cat,fight,8
coffee,cake,8
comedy,club,8
