character,word1,word2,n
Jerry,uncle,leo,41
Jerry,coffee,shop,18
Elaine,sue,ellen,17
George,alright,alright,17
George,marisa,tomei,16
Jerry,im,gonna,16
George,coffee,shop,15
Jerry,hundred,dollars,15
Kramer,coffee,table,15
Jerry,ten,minutes,14
Elaine,jean,paul,13
George,thousand,dollars,13
Jerry,bye,hangs,13
Jerry,gonna,call,13
Jerry,jean,paul,13
Jerry,tv,guide,13
Kramer,serenity,now,13
George,heh,heh,12
George,lloyd,braun,12
George,yada,yada,12
Jerry,bubble,boy,11
Elaine,bye,bye,10
George,hundred,dollars,10
George,jon,voight,10
Jerry,alright,alright,10
Jerry,dry,cleaning,10
Jerry,gonna,happen,10
Kramer,jerry's,apartment,10
George,funny,guy,9
Jerry,coffee,table,9
Jerry,dry,cleaner,9
Jerry,friday,night,9
Jerry,phone,rings,9
Kramer,im,gonna,9
Kramer,newman's,ear,9
Elaine,label,maker,8
Elaine,soup,nazi,8
Elaine,thousand,dollars,8
Frank,serenity,now,8
George,jerk,store,8
George,keith,hernandez,8
Jerry,super,bowl,8
Jerry,ya,doin,8
Kramer,ah,ah,8
Elaine,health,club,7
George,bubble,boy,7
George,coffee,table,7
George,gonna,happen,7
George,snaps,fingers,7
George,tape,recorder,7
George,ted,danson,7
George,toilet,paper,7
Jerry,apple,pie,7
Jerry,bennet,robbins,7
Jerry,chinese,food,7
Jerry,click,click,7
Jerry,friars,club,7
Jerry,sagman,bennet,7
Jerry,saturday,night,7
Jerry,thousand,dollars,7
Jerry,toilet,paper,7
Jerry,tomorrow,night,7
Jerry,twenty,minutes,7
Jerry,veeer,veeer,7
Kramer,air,conditioner,7
Kramer,alright,alright,7
Kramer,drop,dead,7
Kramer,hoo,hoo,7
Kramer,now,listen,7
Kramer,puffy,shirt,7
Kramer,table,book,7
Elaine,alright,alright,6
Elaine,blah,blah,6
Elaine,clears,throat,6
Elaine,coffee,shop,6
Elaine,fine,fine,6
Elaine,joe,mayo,6
Elaine,mister,peterman,6
Elaine,mm,hmm,6
Elaine,money,money,6
Elaine,tim,whatley,6
Elaine,yankee,bean,6
Frank,tv,guide,6
George,candy,bar,6
George,double,parked,6
George,god,bless,6
George,marine,biologist,6
George,mental,institution,6
George,shmoopy,shmoopy,6
George,speak,english,6
George,ten,minutes,6
George,twenty,minutes,6
George,vandelay,industries,6
George,wedding,invitations,6
Jerry,aids,walk,6
Jerry,atlantic,city,6
Jerry,bathing,suit,6
Jerry,de,de,6
Jerry,dont,care,6
Jerry,fifteen,minutes,6
Jerry,fifty,dollars,6
Jerry,fur,coat,6
Jerry,ice,cream,6
Jerry,pants,pants,6
Jerry,robbins,oppenheim,6
Jerry,ted,danson,6
Jerry,yo,yo,6
Kramer,cable,boy,6
Kramer,claps,hands,6
Kramer,death,blow,6
Kramer,hundred,dollars,6
Kramer,joe,dimaggio,6
Kramer,now,serenity,6
Kramer,south,america,6
Kramer,van,buren,6
Elaine,3,squares,5
Elaine,air,conditioner,5
Elaine,christmas,card,5
Elaine,fifty,dollars,5
Elaine,hee,hee,5
Elaine,heh,heh,5
Elaine,listen,listen,5
Elaine,move,move,5
Elaine,phone,rings,5
Elaine,prognosis,negative,5
Elaine,saturday,night,5
Elaine,ten,minutes,5
Frank,boca,vista,5
Frank,del,boca,5
George,alright,now,5
George,art,vandelay,5
George,bald,woman,5
George,bye,hangs,5
George,chinese,food,5
George,cool,guy,5
George,david,letterman,5
George,due,respect,5
George,entire,life,5
George,hell,happened,5
George,nice,guy,5
George,peanut,butter,5
George,plane,crash,5
George,play,now,5
George,prognosis,negative,5
George,red,dot,5
George,saturday,night,5
George,security,guard,5
George,ten,dollars,5
George,woo,woo,5
Jerry,alarm,clock,5
Jerry,bye,bye,5
Jerry,care,now,5
Jerry,charles,grodin,5
Jerry,chinese,restaurant,5
Jerry,comedy,club,5
Jerry,diplomat's,club,5
Jerry,feel,comfortable,5
Jerry,georgie,boy,5
Jerry,heart,attack,5
Jerry,intercom,buzzes,5
Jerry,iq,test,5
Jerry,joe,divola,5
Jerry,joe,mayo,5
Jerry,jon,voight,5
Jerry,medicine,cabinet,5
Jerry,mother's,fur,5
Jerry,nice,meeting,5
Jerry,offer,happiness,5
Jerry,phone,call,5
Jerry,ping,pong,5
Jerry,tape,recorder,5
Jerry,theyre,talking,5
Jerry,tim,whatley,5
Jerry,twenty,thousand,5
Jerry,watching,tv,5
Kramer,bad,news,5
Kramer,bob,sacamano,5
Kramer,coffee,tables,5
Kramer,friend,bob,5
Kramer,hot,tub,5
Kramer,jon,voight,5
Kramer,miss,america,5
Kramer,now,now,5
Kramer,puerto,rico,5
Kramer,super,terrific,5
Kramer,whoa,whoa,5
Kramer,ya,ya,5
Elaine,alright,listen,4
Elaine,brown,sweater,4
Elaine,candy,bar,4
Elaine,da,da,4
Elaine,de,mayo,4
Elaine,denim,vest,4
Elaine,god,bless,4
Elaine,gonna,call,4
Elaine,now,listen,4
Elaine,phone,call,4
Elaine,skinny,mirrors,4
Elaine,tape,recorder,4
Elaine,urban,sombrero,4
Elaine,whoa,whoa,4
Elaine,witchy,woman,4
Elaine,wooden,teeth,4
Elaine,yada,yada,4
Frank,stopped,short,4
George,"1,900",dollars,4
George,ah,ah,4
George,ahh,ah,4
George,bye,bye,4
George,candy,bars,4
George,claps,hands,4
George,clears,throat,4
George,de,leon,4
George,death,certificate,4
George,delicate,genius,4
George,dont,understand,4
George,dry,cleaning,4
George,fifty,bucks,4
George,front,office,4
George,gonna,eat,4
George,gonna,move,4
George,gore,tex,4
George,gotta,buy,4
George,heart,attack,4
George,hmm,hmm,4
George,im,thinking,4
George,job,interview,4
George,nice,meeting,4
George,oscar,winner,4
George,parking,lot,4
George,pasta,primavera,4
George,people,people,4
George,phone,call,4
George,phone,rings,4
George,ponce,de,4
George,ring,dings,4
George,running,outta,4
George,singing,master,4
George,spare,keys,4
George,steven,koren,4
George,super,bowl,4
George,tippy,toe,4
George,tomorrow,night,4
George,twenty,dollars,4
George,ya,doin,4
George,yankee,stadium,4
George,york,yankees,4
George,youre,gonna,4
Jerry,5,19,4
Jerry,ah,hah,4
Jerry,answering,phone,4
Jerry,baseball,cap,4
Jerry,bathing,suits,4
Jerry,caf,latte,4
Jerry,cell,phone,4
Jerry,cereal,box,4
Jerry,cordless,phone,4
Jerry,cotton,balls,4
Jerry,cut,cut,4
Jerry,death,blow,4
Jerry,donna,chang,4
Jerry,dont,worry,4
Jerry,door,neighbor,4
Jerry,drop,dead,4
Jerry,dylan,murphy,4
Jerry,egg,white,4
Jerry,elevator,doors,4
