word,n,sent
good,914,1006
great,354,385
nice,309,329
work,276,283
love,260,281
bad,259,-287
fine,205,222
wrong,195,-203
pretty,166,167
problem,166,-170
funny,165,-198
excuse,157,-165
hell,144,-146
happy,120,125
wow,118,125
crazy,117,-121
stupid,104,-113
beautiful,101,104
break,99,-101
hot,95,107
hate,92,-104
hard,91,-92
lost,87,-88
hangs,81,-81
ready,81,85
fun,78,82
important,72,76
worked,70,72
free,69,72
trouble,69,-72
top,67,68
worry,67,-69
broke,65,-66
kill,64,-67
smell,64,-72
miss,63,-67
likes,62,66
dead,61,-71
cold,60,-64
sick,60,-62
easy,59,64
favor,57,57
nervous,57,-58
smiling,56,56
terrible,56,-60
upset,55,-57
cool,53,59
fantastic,53,57
perfect,53,55
clean,51,52
mistake,50,-53
amazing,48,48
interesting,48,50
works,48,48
excited,47,48
hurt,47,-52
confused,46,-47
hang,46,-48
shocked,46,-47
fault,45,-45
fat,44,-44
strange,43,-45
unbelievable,43,-46
worst,43,-45
killed,42,-43
afraid,41,-41
fake,41,-44
incredible,41,41
problems,41,-44
whoa,41,53
comfortable,40,41
fast,40,40
death,38,-39
idiot,38,-41
lose,38,-38
pig,38,-50
sarcastic,38,-39
super,38,40
worried,38,-38
damn,37,-38
missed,37,-38
uncomfortable,37,-39
ridiculous,36,-36
joke,35,-39
annoyed,34,-36
glad,34,34
lucky,34,35
quiet,34,37
smiles,34,34
sweet,34,36
lying,33,-34
weird,33,-33
killing,32,-34
lie,32,-34
mad,32,-33
die,31,-37
pretend,31,-32
stink,31,-35
tough,31,31
win,31,32
died,30,-34
disappointed,30,-30
fell,30,-31
smart,30,34
wild,30,-31
wonderful,30,32
bother,29,-31
enjoy,29,30
poor,29,-32
scared,29,-30
insane,28,-28
loud,28,-28
luck,28,29
noise,28,-30
smile,28,29
stole,28,-28
stuck,28,-28
tired,28,-28
won,28,31
alarm,27,-28
attractive,27,28
blow,27,-28
clear,27,29
garbage,27,-34
angry,26,-26
ruined,26,-26
stinks,26,-26
worse,26,-28
concerned,25,-26
terrific,25,25
awkward,24,-25
broken,24,-24
knock,24,-27
pleasure,24,25
cancer,23,-27
falls,23,-24
frustrated,23,-23
honest,23,24
master,23,24
pain,23,-25
shake,23,-24
trust,23,23
disgusting,22,-22
exciting,22,25
fair,22,24
fall,22,-22
impossible,22,-23
impressed,22,22
jerk,22,-24
losing,22,-22
negative,22,-23
respect,22,22
shame,22,-23
sue,22,-23
blind,21,-24
boom,21,27
hum,21,-21
slow,21,-22
ugh,21,-22
delicious,20,21
difficult,20,-21
dirty,20,-20
dying,20,-20
emergency,20,-21
loves,20,22
phony,20,-21
positive,20,20
sarcastically,20,-20
worth,20,20
beauty,19,19
clears,19,19
embarrassing,19,-19
screwed,19,-19
silly,19,-19
stealing,19,-19
dark,18,-18
knife,18,-22
lovely,18,20
prison,18,-20
smells,18,-21
smoke,18,-20
trash,18,-18
breaking,17,-17
calm,17,19
cleaner,17,20
congratulations,17,18
correct,17,17
horrible,17,-17
pleased,17,17
proud,17,17
sink,17,-17
support,17,17
beg,16,-19
fortune,16,16
helping,16,17
loved,16,18
ruin,16,-21
steal,16,-16
afford,15,15
annoying,15,-15
attack,15,-16
awful,15,-15
bitter,15,-16
bless,15,16
bumped,15,-15
cheating,15,-15
easier,15,15
enjoying,15,16
fresh,15,22
issue,15,-15
junk,15,-15
loser,15,-15
promised,15,15
rich,15,15
sad,15,-16
slowly,15,-15
blame,14,-15
boring,14,-16
breaks,14,-14
burning,14,-14
cute,14,15
dangerous,14,-15
dump,14,-16
fabulous,14,15
favorite,14,14
gorgeous,14,14
handicapped,14,-14
killer,14,-15
perfectly,14,14
strong,14,14
talent,14,14
waste,14,-14
burn,13,-15
burned,13,-13
disturbed,13,-16
doubt,13,-18
dumb,13,-14
giddy,13,-13
golden,13,14
handsome,13,13
hated,13,-13
humor,13,14
imaginary,13,-13
jealous,13,-15
nervously,13,-13
patient,13,13
risk,13,-13
scam,13,-13
soft,13,14
strike,13,-13
ugly,13,-14
warm,13,13
crap,12,-12
desperate,12,-12
expensive,12,-12
grand,12,12
illegal,12,-12
liar,12,-12
pardon,12,12
pathetic,12,-13
ripped,12,-13
smooth,12,13
sneak,12,-12
stain,12,-12
suspicious,12,-12
advantage,11,11
benefit,11,11
complicated,11,-11
deaf,11,-13
falling,11,-11
fancy,11,11
frantic,11,-11
freak,11,-12
gasp,11,-11
genius,11,13
guarantee,11,11
irritated,11,-11
mess,11,-11
peace,11,11
peach,11,13
prefer,11,11
promise,11,11
serenity,11,18
sexy,11,11
split,11,-11
stolen,11,-11
successful,11,11
weak,11,-12
bored,10,-10
bump,10,-11
confidence,10,10
crash,10,-11
cry,10,-16
damage,10,-10
dick,10,-11
enjoyed,10,10
enthusiastic,10,10
excellent,10,10
fascinating,10,10
faster,10,11
favour,10,10
fear,10,-15
frustration,10,-10
gold,10,10
hug,10,11
idiots,10,-10
joy,10,11
loose,10,-10
miracle,10,10
regret,10,-10
reluctant,10,-10
sack,10,-10
scare,10,-10
solid,10,10
sweetheart,10,11
bomb,9,-10
butcher,9,-10
cheap,9,-10
complaining,9,-9
cracks,9,-9
crime,9,-9
crush,9,-10
cure,9,10
decent,9,9
defective,9,-9
defensive,9,-9
delicate,9,10
destroy,9,-9
dinky,9,-9
friendly,9,9
grace,9,10
hurts,9,-9
incredulous,9,-9
intelligent,9,9
itch,9,-9
louder,9,-9
magic,9,9
merry,9,11
noises,9,-10
popular,9,9
puzzled,9,-9
revenge,9,-10
satisfied,9,10
scratch,9,-9
sensitive,9,9
skeptical,9,-9
struggle,9,-9
struggling,9,-9
stunned,9,9
tank,9,-9
terribly,9,-9
urgent,9,-9
wasting,9,-9
wise,9,9
angrily,8,-8
ashamed,8,-9
bastard,8,-8
breakdown,8,-8
breakup,8,-8
celebrate,8,9
charming,8,8
comfort,8,9
crack,8,-10
depressed,8,-8
dies,8,-8
dirt,8,-9
disbelief,8,-8
dismissive,8,-8
drain,8,-8
enthusiasm,8,8
fool,8,-8
freaks,8,-9
greatest,8,8
guilty,8,-8
happiness,8,10
healthy,8,8
insult,8,-8
jam,8,-8
lean,8,8
lied,8,-8
loving,8,8
misunderstanding,8,-8
mock,8,-8
mocking,8,-8
modest,8,8
murder,8,-8
pleasant,8,8
polite,8,8
pride,8,8
romantic,8,8
safe,8,8
sarcasm,8,-8
sharp,8,9
smelling,8,-8
spite,8,-8
suffer,8,-8
toxic,8,-8
unusual,8,-8
woo,8,15
adamant,7,-7
admire,7,8
anxious,7,-7
awe,7,7
begging,7,-7
bitch,7,-8
bleak,7,-8
breathtaking,7,9
bright,7,7
brutal,7,-7
concern,7,-7
convincing,7,7
crashing,7,-7
darkness,7,-7
desert,7,-7
dignity,7,10
disappointment,7,-7
disaster,7,-7
drunk,7,-7
gleeful,7,7
guilt,7,-7
hates,7,-7
helped,7,7
helpful,7,8
impatient,7,-7
irony,7,-7
leads,7,7
maniac,7,-7
moron,7,-7
panic,7,-7
pinch,7,-8
reasonable,7,7
refund,7,7
relaxed,7,7
rough,7,-7
rude,7,-7
rusty,7,-9
scratches,7,-8
shock,7,-7
sour,7,-8
stern,7,-7
superficial,7,-7
thoughtful,7,7
threatening,7,-7
trick,7,-7
twist,7,-9
unhappy,7,-7
winner,7,8
worn,7,-7
accomplished,6,6
admiring,6,6
anger,6,-6
bothered,6,-6
brilliant,6,6
bumps,6,-6
bust,6,-6
capable,6,6
commitment,6,7
confront,6,-6
criminal,6,-6
devil,6,-6
dings,6,-7
disgusted,6,-6
exasperated,6,-6
faint,6,-6
filth,6,-6
fist,6,-6
flattering,6,6
frantically,6,-6
frustrating,6,-6
gentle,6,6
hurting,6,-6
intense,6,-6
intimate,6,6
leading,6,6
losers,6,-6
loses,6,-6
magnificent,6,6
mature,6,6
meaningless,6,-6
odd,6,-6
paranoid,6,-6
penalty,6,-6
poison,6,-7
protection,6,6
puppet,6,-6
qualified,6,6
rage,6,-6
recommend,6,6
refreshing,6,6
refuse,6,-7
ruining,6,-6
savings,6,6
scary,6,-6
smelled,6,-6
stench,6,-6
straighten,6,6
stress,6,-6
stupidest,6,-6
stupidity,6,-6
subdued,6,-6
tension,6,-6
thrilled,6,6
twisted,6,-6
violently,6,-6
weary,6,-6
worthy,6,6
bastards,5,-5
bizarre,5,-5
boiling,5,-5
bothering,5,-5
bothers,5,-6
bum,5,-9
burns,5,-5
charm,5,5
choke,5,-6
chunky,5,-5
classy,5,5
complaint,5,-5
confusing,5,-5
crook,5,-7
crumpled,5,-5
cynical,5,-5
damaged,5,-6
danger,5,-5
darling,5,6
delighted,5,5
dent,5,-6
disgust,5,-5
disturb,5,-5
disturbing,5,-5
drag,5,-5
dumped,5,-5
dumps,5,-5
dust,5,-5
emphatic,5,-5
enjoys,5,5
exhausted,5,-5
false,5,-5
filthy,5,-5
flounder,5,-5
fooled,5,-7
forbidden,5,-5
foul,5,-5
freezing,5,-6
furious,5,-5
gain,5,5
heckled,5,-5
hesitant,5,-5
hopeful,5,5
hung,5,-5
ignore,5,-5
illness,5,-5
incredibly,5,5
insulted,5,-6
invisible,5,-5
ironic,5,-5
lazy,5,-5
lead,5,5
lemon,5,-5
lies,5,-5
lonely,5,-5
lunatic,5,-5
murderer,5,-5
mystery,5,-5
nicer,5,5
pan,5,-5
patience,5,5
powerful,5,6
pretentious,5,-8
punk,5,-5
quieter,5,5
rash,5,-5
relief,5,5
reluctantly,5,-5
rip,5,-6
selfish,5,-5
shark,5,-5
silent,5,5
slap,5,-5
smug,5,-5
stall,5,-5
stranger,5,-5
stumps,5,-5
suck,5,-5
suicide,5,-5
talented,5,5
tease,5,-5
tragic,5,-5
unable,5,-5
unfortunate,5,-5
vomit,5,-6
vomited,5,-5
vomiting,5,-5
warning,5,-5
wins,5,5
wound,5,-5
abnormal,4,-4
accusingly,4,-4
addict,4,-4
addicted,4,-4
approval,4,4
bewildered,4,-4
blah,4,-10
blunt,4,-4
bonus,4,4
bug,4,-4
bumping,4,-4
cheat,4,-4
cheer,4,4
cheerful,4,4
classic,4,4
clever,4,4
complex,4,-4
compliment,4,4
concession,4,-4
confess,4,-4
cozy,4,4
crashes,4,-4
delayed,4,-4
dictator,4,-4
disorder,4,-4
dizzy,4,-4
doubtful,4,-4
downcast,4,-4
dread,4,-4
enemy,4,-4
evil,4,-4
excitement,4,4
expired,4,-4
exquisite,4,4
failed,4,-4
fails,4,-4
faith,4,5
fragile,4,-4
fraud,4,-4
freaking,4,-4
fried,4,-4
froze,4,-4
fudge,4,-5
funky,4,-4
grateful,4,5
grind,4,-4
gross,4,-4
happily,4,4
heaven,4,4
hero,4,4
hideous,4,-4
hilarious,4,4
holy,4,4
honor,4,4
horrified,4,-4
hysterically,4,-4
inadequate,4,-4
interference,4,-4
interrupt,4,-4
intrigue,4,4
involuntarily,4,-4
irked,4,-4
liking,4,4
limit,4,-4
limitations,4,-4
messy,4,-4
miserable,4,-4
modern,4,4
monster,4,-4
mysterious,4,-4
neat,4,4
nicely,4,4
offence,4,-4
painful,4,-4
panicky,4,-4
perfection,4,4
pimple,4,-4
pity,4,-5
progress,4,4
punch,4,-4
recommended,4,4
refused,4,-4
rejected,4,-5
resigned,4,-4
shrill,4,-4
sickness,4,-5
significant,4,4
sincere,4,4
skill,4,4
slower,4,-4
sob,4,-6
sophisticated,4,4
stalls,4,-4
steady,4,6
steep,4,-4
stooges,4,-4
sucked,4,-4
sunk,4,-4
suspect,4,-4
sweaty,4,-4
sweeten,4,4
syndrome,4,-4
tense,4,-4
thrill,4,4
tops,4,4
torture,4,-4
tragedy,4,-4
triumphant,4,4
trusted,4,4
uglier,4,-4
useless,4,-4
valuable,4,4
variety,4,4
vice,4,-4
whining,4,-4
winning,4,4
worthless,4,-4
wrath,4,-4
accomplish,3,3
accusing,3,-3
ache,3,-3
aghast,3,-3
allergy,3,-3
amazed,3,3
amusing,3,3
appeal,3,4
appreciates,3,3
astonishing,3,3
authentic,3,3
blossom,3,3
blur,3,-3
brave,3,3
bravo,3,4
breeze,3,3
buckle,3,-3
bugs,3,-3
bunk,3,-4
cheaper,3,3
chilly,3,-3
clueless,3,-3
compassion,3,3
complain,3,-3
confident,3,3
conflict,3,-3
contention,3,-3
convenient,3,3
criticizing,3,-3
crooks,3,-4
crummy,3,-3
curse,3,-3
damaging,3,-3
damned,3,-3
defile,3,-3
delay,3,-3
desperation,3,-3
despicable,3,-3
devastated,3,-3
dislike,3,-3
dismayed,3,-3
dispute,3,-3
dope,3,-3
dragging,3,-3
ease,3,3
envy,3,3
excessive,3,-3
excuses,3,-3
fail,3,-3
failure,3,-3
fairly,3,3
famous,3,3
fans,3,3
fastidious,3,-3
fever,3,-3
flaws,3,-3
fleeing,3,-3
freeze,3,-3
frozen,3,-3
gained,3,3
generous,3,3
glow,3,3
goood,3,3
gossip,3,-3
greasy,3,-3
hack,3,-3
happier,3,3
harm,3,-3
harmless,3,3
harmony,3,3
harsh,3,-3
heal,3,3
hiss,3,-3
hissing,3,-3
honesty,3,3
inevitable,3,-3
insecure,3,-3
integral,3,3
intelligence,3,3
intimacy,3,3
itchy,3,-3
jealousy,3,-3
jeopardy,3,-4
keen,3,3
kills,3,-3
leak,3,-3
led,3,3
loss,3,-3
lustrous,3,3
magical,3,3
mashed,3,-3
meaningful,3,3
menace,3,-3
mishap,3,-3
myth,3,-3
neurotic,3,-3
nicest,3,3
nightmare,3,-3
nonsense,3,-3
object,3,-3
obsession,3,3
obtrusive,3,-3
odor,3,-4
offensive,3,-4
outraged,3,-3
outrageous,3,-3
pale,3,-3
panicked,3,-3
payback,3,-3
peculiar,3,-3
peeved,3,-3
playfully,3,3
poise,3,5
preferably,3,3
preposterous,3,-3
protect,3,3
punish,3,-3
pure,3,3
risky,3,-3
