season,episode,mean_sent,show_number,lex
S01,E01,0.15,1,nrc
S01,E02,-0.07,2,nrc
S01,E03,-0.02,3,nrc
S01,E04,0.12,4,nrc
S02,E01,0.02,5,nrc
S02,E02,0.06,6,nrc
S02,E03,-0.04,7,nrc
S02,E04,-0.01,8,nrc
S02,E05,0.1,9,nrc
S02,E06,0.04,10,nrc
S02,E07,0.28,11,nrc
S02,E08,0.13,12,nrc
S02,E09,0.25,13,nrc
S02,E10,-0,14,nrc
S02,E11,0.17,15,nrc
S02,E12,-0.01,16,nrc
S03,E01,0.21,17,nrc
S03,E02,0.11,18,nrc
S03,E03,0.23,19,nrc
S03,E04,-0.11,20,nrc
S03,E05,0,21,nrc
S03,E06,-0.09,22,nrc
S03,E07,0.17,23,nrc
S03,E08,0.13,24,nrc
S03,E09,0.2,25,nrc
S03,E10,0.05,26,nrc
S03,E11,0,27,nrc
S03,E12,0.19,28,nrc
S03,E13,0,29,nrc
S03,E14,-0.03,30,nrc
S03,E15,-0.05,31,nrc
S03,E16,0.18,32,nrc
S03,E17,0.09,33,nrc
S03,E18,0.18,34,nrc
S03,E19,0.01,35,nrc
S03,E20,0.06,36,nrc
S03,E21,-0.05,37,nrc
S03,E22,-0.1,38,nrc
S03,E23,-0.05,39,nrc
S04,E01,-0.07,40,nrc
S04,E02,0.1,41,nrc
S04,E03,0.24,42,nrc
S04,E04,0.18,43,nrc
S04,E05,0.08,44,nrc
S04,E06,0.33,45,nrc
S04,E07,0.1,46,nrc
S04,E08,0.14,47,nrc
S04,E09,0.34,48,nrc
S04,E10,0.26,49,nrc
S04,E11,0.32,50,nrc
S04,E12,0.05,51,nrc
S04,E13,0.29,52,nrc
S04,E14,0.08,53,nrc
S04,E15,0.13,54,nrc
S04,E16,0.15,55,nrc
S04,E17,0,56,nrc
S04,E18,0.01,57,nrc
S04,E19,-0.02,58,nrc
S04,E20,0.13,59,nrc
S04,E21,-0.1,60,nrc
S04,E22,0.35,61,nrc
S04,E23,0.11,62,nrc
S04,E24,0.03,63,nrc
S05,E01,0.26,64,nrc
S05,E02,0.04,65,nrc
S05,E03,0.03,66,nrc
S05,E04,0.16,67,nrc
S05,E05,-0.22,68,nrc
S05,E06,0.25,69,nrc
S05,E07,0.17,70,nrc
S05,E08,0.2,71,nrc
S05,E09,0.3,72,nrc
S05,E10,0.15,73,nrc
S05,E11,0.23,74,nrc
S05,E12,0.07,75,nrc
S05,E13,0.03,76,nrc
S05,E14,0.24,77,nrc
S05,E15,-0.02,78,nrc
S05,E16,0.28,79,nrc
S05,E17,0.18,80,nrc
S05,E18,0.23,81,nrc
S05,E20,0.3,82,nrc
S05,E21,0.35,83,nrc
S05,E22,0.27,84,nrc
S06,E01,0.09,85,nrc
S06,E02,0.04,86,nrc
S06,E03,0.33,87,nrc
S06,E04,0.07,88,nrc
S06,E05,0.44,89,nrc
S06,E06,0.03,90,nrc
S06,E07,0.29,91,nrc
S06,E08,0.07,92,nrc
S06,E09,0.34,93,nrc
S06,E10,0.05,94,nrc
S06,E11,0.17,95,nrc
S06,E12,0.17,96,nrc
S06,E13,-0.03,97,nrc
S06,E16,0.15,98,nrc
S06,E17,0.26,99,nrc
S06,E18,0.09,100,nrc
