season,episode,mean_sent,show_number,lex
S01,E01,-0.03,1,bing
S01,E02,-0.06,2,bing
S01,E03,-0.44,3,bing
S01,E04,-0.04,4,bing
S02,E01,-0.15,5,bing
S02,E02,-0.17,6,bing
S02,E03,0.09,7,bing
S02,E04,-0.14,8,bing
S02,E05,-0.12,9,bing
S02,E06,-0.16,10,bing
S02,E07,0.09,11,bing
S02,E08,-0.42,12,bing
S02,E09,0.06,13,bing
S02,E10,-0.48,14,bing
S02,E11,-0.25,15,bing
S02,E12,-0.35,16,bing
S03,E01,-0.35,17,bing
S03,E02,-0.31,18,bing
S03,E03,0.07,19,bing
S03,E04,-0.24,20,bing
S03,E05,-0.45,21,bing
S03,E06,-0.55,22,bing
S03,E07,0.03,23,bing
S03,E08,-0.04,24,bing
S03,E09,0.16,25,bing
S03,E10,-0.08,26,bing
S03,E11,-0.07,27,bing
S03,E12,-0.27,28,bing
S03,E13,-0.21,29,bing
S03,E14,-0.28,30,bing
S03,E15,-0.05,31,bing
S03,E16,0.07,32,bing
S03,E17,-0.15,33,bing
S03,E18,0.2,34,bing
S03,E19,-0.18,35,bing
S03,E20,-0.19,36,bing
S03,E21,0,37,bing
S03,E22,-0.26,38,bing
S03,E23,-0.38,39,bing
S04,E01,-0.11,40,bing
S04,E02,0.01,41,bing
S04,E03,-0.11,42,bing
S04,E04,-0.07,43,bing
S04,E05,-0.27,44,bing
S04,E06,-0.05,45,bing
S04,E07,0.05,46,bing
S04,E08,-0.36,47,bing
S04,E09,-0.14,48,bing
S04,E10,-0.16,49,bing
S04,E11,0.1,50,bing
S04,E12,0.19,51,bing
S04,E13,-0.14,52,bing
S04,E14,-0.24,53,bing
S04,E15,-0.32,54,bing
S04,E16,-0.38,55,bing
S04,E17,-0.32,56,bing
S04,E18,0,57,bing
S04,E19,-0.41,58,bing
S04,E20,0.05,59,bing
S04,E21,-0.36,60,bing
S04,E22,0.26,61,bing
S04,E23,-0.21,62,bing
S04,E24,-0.17,63,bing
S05,E01,0.03,64,bing
S05,E02,-0.06,65,bing
S05,E03,-0.28,66,bing
S05,E04,-0.04,67,bing
S05,E05,-0.5,68,bing
S05,E06,-0.01,69,bing
S05,E07,-0.26,70,bing
S05,E08,0.29,71,bing
S05,E09,-0.01,72,bing
S05,E10,0.03,73,bing
S05,E11,-0.07,74,bing
S05,E12,-0.23,75,bing
S05,E13,-0.22,76,bing
S05,E14,0.14,77,bing
S05,E15,-0.33,78,bing
S05,E16,-0.16,79,bing
S05,E17,0.01,80,bing
S05,E18,0.09,81,bing
S05,E20,0.03,82,bing
S05,E21,0.21,83,bing
S05,E22,-0.07,84,bing
S06,E01,0.01,85,bing
S06,E02,-0.19,86,bing
S06,E03,-0.08,87,bing
S06,E04,-0.22,88,bing
S06,E05,0.3,89,bing
S06,E06,-0.13,90,bing
S06,E07,0.46,91,bing
S06,E08,-0.35,92,bing
S06,E09,0.13,93,bing
S06,E10,-0.04,94,bing
S06,E11,0,95,bing
S06,E12,0.29,96,bing
S06,E13,-0.2,97,bing
S06,E16,-0.01,98,bing
S06,E17,0.06,99,bing
S06,E18,-0.26,100,bing
S06,E19,0.1,101,bing
S06,E20,-0.14,102,bing
S06,E21,-0.09,103,bing
S06,E22,-0.03,104,bing
S06,E23,0.02,105,bing
S06,E24,-0.45,106,bing
S07,E01,0.05,107,bing
S07,E02,-0.02,108,bing
S07,E03,-0.13,109,bing
S07,E04,-0.15,110,bing
S07,E05,-0.23,111,bing
S07,E06,0,112,bing
S07,E07,-0.08,113,bing
S07,E08,-0.28,114,bing
S07,E09,-0.04,115,bing
S07,E10,-0.11,116,bing
S07,E11,0.12,117,bing
S07,E12,-0.26,118,bing
S07,E13,-0.11,119,bing
S07,E14,0.19,120,bing
S07,E15,-0.17,121,bing
S07,E16,-0.13,122,bing
S07,E17,-0.28,123,bing
S07,E18,-0.06,124,bing
S07,E19,0.07,125,bing
S07,E20,-0.13,126,bing
S07,E21,-0.15,127,bing
S07,E22,-0.36,128,bing
S07,E23,-0.15,129,bing
S07,E24,-0.31,130,bing
S08,E01,-0.1,131,bing
S08,E02,-0.1,132,bing
S08,E03,-0.04,133,bing
S08,E04,-0.48,134,bing
S08,E05,0.04,135,bing
S08,E06,-0.24,136,bing
S08,E07,0.07,137,bing
S08,E08,-0.26,138,bing
S08,E09,-0.05,139,bing
S08,E10,-0.28,140,bing
S08,E11,-0.01,141,bing
S08,E12,-0.01,142,bing
S08,E13,-0.37,143,bing
S08,E14,-0.26,144,bing
S08,E15,-0.07,145,bing
S08,E16,-0.15,146,bing
S08,E17,-0.48,147,bing
S08,E18,-0.28,148,bing
S08,E19,-0.18,149,bing
S08,E20,-0.13,150,bing
S08,E21,-0.24,151,bing
S08,E22,-0.1,152,bing
S09,E01,-0.21,153,bing
S09,E02,-0.2,154,bing
S09,E03,0.22,155,bing
S09,E04,-0.18,156,bing
S09,E05,0,157,bing
S09,E06,-0.09,158,bing
S09,E07,-0.15,159,bing
S09,E08,-0.35,160,bing
S09,E09,-0.14,161,bing
S09,E10,-0.01,162,bing
S09,E11,-0.27,163,bing
S09,E12,0.28,164,bing
S09,E13,-0.16,165,bing
S09,E14,-0.32,166,bing
S09,E15,0.1,167,bing
S09,E16,-0.36,168,bing
S09,E17,-0.55,169,bing
S09,E18,-0.17,170,bing
S09,E19,-0.16,171,bing
S09,E20,-0.2,172,bing
S09,E23,-0.05,173,bing
S01,E01,0.15,1,nrc
S01,E02,-0.07,2,nrc
S01,E03,-0.02,3,nrc
S01,E04,0.12,4,nrc
S02,E01,0.02,5,nrc
S02,E02,0.06,6,nrc
S02,E03,-0.04,7,nrc
S02,E04,-0.01,8,nrc
S02,E05,0.1,9,nrc
S02,E06,0.04,10,nrc
S02,E07,0.28,11,nrc
S02,E08,0.13,12,nrc
S02,E09,0.25,13,nrc
S02,E10,-0,14,nrc
S02,E11,0.17,15,nrc
S02,E12,-0.01,16,nrc
S03,E01,0.21,17,nrc
S03,E02,0.11,18,nrc
S03,E03,0.23,19,nrc
S03,E04,-0.11,20,nrc
S03,E05,0,21,nrc
S03,E06,-0.09,22,nrc
S03,E07,0.17,23,nrc
S03,E08,0.13,24,nrc
S03,E09,0.2,25,nrc
S03,E10,0.05,26,nrc
S03,E11,0,27,nrc
S03,E12,0.19,28,nrc
S03,E13,0,29,nrc
S03,E14,-0.03,30,nrc
S03,E15,-0.05,31,nrc
S03,E16,0.18,32,nrc
S03,E17,0.09,33,nrc
S03,E18,0.18,34,nrc
S03,E19,0.01,35,nrc
S03,E20,0.06,36,nrc
S03,E21,-0.05,37,nrc
S03,E22,-0.1,38,nrc
S03,E23,-0.05,39,nrc
S04,E01,-0.07,40,nrc
S04,E02,0.1,41,nrc
S04,E03,0.24,42,nrc
S04,E04,0.18,43,nrc
S04,E05,0.08,44,nrc
S04,E06,0.33,45,nrc
S04,E07,0.1,46,nrc
S04,E08,0.14,47,nrc
S04,E09,0.34,48,nrc
S04,E10,0.26,49,nrc
S04,E11,0.32,50,nrc
S04,E12,0.05,51,nrc
S04,E13,0.29,52,nrc
S04,E14,0.08,53,nrc
S04,E15,0.13,54,nrc
S04,E16,0.15,55,nrc
S04,E17,0,56,nrc
S04,E18,0.01,57,nrc
S04,E19,-0.02,58,nrc
S04,E20,0.13,59,nrc
S04,E21,-0.1,60,nrc
S04,E22,0.35,61,nrc
S04,E23,0.11,62,nrc
S04,E24,0.03,63,nrc
S05,E01,0.26,64,nrc
S05,E02,0.04,65,nrc
S05,E03,0.03,66,nrc
S05,E04,0.16,67,nrc
S05,E05,-0.22,68,nrc
S05,E06,0.25,69,nrc
S05,E07,0.17,70,nrc
S05,E08,0.2,71,nrc
S05,E09,0.3,72,nrc
S05,E10,0.15,73,nrc
S05,E11,0.23,74,nrc
S05,E12,0.07,75,nrc
S05,E13,0.03,76,nrc
S05,E14,0.24,77,nrc
S05,E15,-0.02,78,nrc
S05,E16,0.28,79,nrc
S05,E17,0.18,80,nrc
S05,E18,0.23,81,nrc
S05,E20,0.3,82,nrc
S05,E21,0.35,83,nrc
S05,E22,0.27,84,nrc
S06,E01,0.09,85,nrc
S06,E02,0.04,86,nrc
S06,E03,0.33,87,nrc
S06,E04,0.07,88,nrc
S06,E05,0.44,89,nrc
S06,E06,0.03,90,nrc
S06,E07,0.29,91,nrc
S06,E08,0.07,92,nrc
S06,E09,0.34,93,nrc
S06,E10,0.05,94,nrc
S06,E11,0.17,95,nrc
S06,E12,0.17,96,nrc
S06,E13,-0.03,97,nrc
S06,E16,0.15,98,nrc
S06,E17,0.26,99,nrc
S06,E18,0.09,100,nrc
S06,E19,0.26,101,nrc
S06,E20,0.08,102,nrc
S06,E21,0.25,103,nrc
S06,E22,0.2,104,nrc
S06,E23,0.08,105,nrc
S06,E24,0.09,106,nrc
S07,E01,0.2,107,nrc
S07,E02,0.18,108,nrc
S07,E03,0.12,109,nrc
S07,E04,0.23,110,nrc
S07,E05,0.01,111,nrc
S07,E06,0.39,112,nrc
S07,E07,0.04,113,nrc
S07,E08,0.04,114,nrc
S07,E09,0.1,115,nrc
S07,E10,-0.05,116,nrc
S07,E11,-0.02,117,nrc
S07,E12,0.04,118,nrc
S07,E13,0.16,119,nrc
S07,E14,0.38,120,nrc
S07,E15,0.16,121,nrc
S07,E16,0.07,122,nrc
S07,E17,0.07,123,nrc
S07,E18,0.16,124,nrc
S07,E19,0.13,125,nrc
S07,E20,0.23,126,nrc
S07,E21,0.1,127,nrc
S07,E22,0.07,128,nrc
S07,E23,0.13,129,nrc
S07,E24,0.06,130,nrc
S08,E01,0.02,131,nrc
S08,E02,0.16,132,nrc
S08,E03,-0.05,133,nrc
S08,E04,-0.09,134,nrc
S08,E05,0.16,135,nrc
S08,E06,0.28,136,nrc
S08,E07,0.19,137,nrc
S08,E08,0.05,138,nrc
S08,E09,0.37,139,nrc
S08,E10,0.04,140,nrc
S08,E11,0,141,nrc
S08,E12,0.25,142,nrc
S08,E13,-0.06,143,nrc
S08,E14,0.05,144,nrc
S08,E15,0.06,145,nrc
S08,E16,-0.02,146,nrc
S08,E17,0.04,147,nrc
S08,E18,0.02,148,nrc
S08,E19,0.07,149,nrc
S08,E20,0.03,150,nrc
S08,E21,0.18,151,nrc
S08,E22,0.15,152,nrc
S09,E01,0.09,153,nrc
S09,E02,0.11,154,nrc
S09,E03,0.3,155,nrc
S09,E04,0.27,156,nrc
S09,E05,0.18,157,nrc
S09,E06,0.15,158,nrc
S09,E07,0.04,159,nrc
S09,E08,0.05,160,nrc
S09,E09,0.05,161,nrc
S09,E10,0.16,162,nrc
S09,E11,0.03,163,nrc
S09,E12,0.41,164,nrc
S09,E13,-0.04,165,nrc
S09,E14,-0.04,166,nrc
S09,E15,0.2,167,nrc
S09,E16,-0.09,168,nrc
S09,E17,-0.09,169,nrc
S09,E18,0.17,170,nrc
S09,E19,0.25,171,nrc
S09,E20,-0.05,172,nrc
S09,E23,-0.01,173,nrc
S01,E01,0.3,1,afinn
S01,E02,0.14,2,afinn
S01,E03,0.03,3,afinn
S01,E04,0.37,4,afinn
S02,E01,0.17,5,afinn
S02,E02,-0.25,6,afinn
S02,E03,-0.14,7,afinn
S02,E04,0.19,8,afinn
S02,E05,-0.06,9,afinn
