word,n,sent,lex
good,914,1006,bing
great,354,385,bing
nice,309,329,bing
work,276,283,bing
love,260,281,bing
bad,259,-287,bing
fine,205,222,bing
wrong,195,-203,bing
pretty,166,167,bing
problem,166,-170,bing
funny,165,-198,bing
excuse,157,-165,bing
hell,144,-146,bing
happy,120,125,bing
wow,118,125,bing
crazy,117,-121,bing
stupid,104,-113,bing
beautiful,101,104,bing
break,99,-101,bing
hot,95,107,bing
hate,92,-104,bing
hard,91,-92,bing
lost,87,-88,bing
ready,81,85,bing
hangs,81,-81,bing
good,914,1006,nrc
time,623,0,nrc
talk,336,352,nrc
wait,334,-459,nrc
thought,312,0,nrc
god,290,298,nrc
show,267,0,nrc
love,260,281,nrc
bad,259,-287,nrc
friend,251,264,nrc
kind,247,256,nrc
guess,231,0,nrc
long,230,0,nrc
money,208,237,nrc
wrong,195,-203,nrc
leave,184,-185,nrc
coming,179,0,nrc
pick,166,175,nrc
pretty,166,167,nrc
problem,166,-170,nrc
real,159,169,nrc
excuse,157,-165,nrc
job,150,160,nrc
eat,147,154,nrc
hell,144,-146,nrc
yeah,3278,3278,affin
good,1006,3018,affin
big,434,434,affin
great,385,1155,affin
nice,329,987,affin
god,298,298,affin
bad,287,-861,affin
ha,283,566,affin
love,281,843,affin
kind,256,512,affin
stop,231,-231,affin
fine,222,444,affin
wrong,203,-406,affin
funny,198,792,affin
care,185,370,affin
leave,185,-185,affin
problem,170,-340,affin
pretty,167,167,affin
excuse,165,-165,affin
hell,146,-584,affin
laughs,143,143,affin
ill,135,-270,affin
matter,131,131,affin
wow,125,500,affin
happy,125,375,affin
